Series_Title,Released_Year,IMDB_Rating,Meta_score,No_of_Votes
The Shawshank Redemption,1994,9.3,80,2343110
The Godfather,1972,9.2,100,1620367
The Dark Knight,2008,9,84,2303232
The Godfather: Part II,1974,9,90,1129952
12 Angry Men,1957,9,96,689845
The Lord of the Rings: The Return of the King,2003,8.9,94,1642758
Pulp Fiction,1994,8.9,94,1826188
Schindler's List,1993,8.9,94,1213505
Inception,2010,8.8,74,2067042
Fight Club,1999,8.8,66,1854740
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1661481
Forrest Gump,1994,8.8,82,1809221
"Il buono, il brutto, il cattivo",1966,8.8,90,688390
The Lord of the Rings: The Two Towers,2002,8.7,87,1485555
The Matrix,1999,8.7,73,1676426
Goodfellas,1990,8.7,90,1020727
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82,1159315
One Flew Over the Cuckoo's Nest,1975,8.7,83,918088
Hamilton,2020,8.6,90,55291
Gisaengchung,2019,8.6,96,552778
Soorarai Pottru,2020,8.6,,54995
Interstellar,2014,8.6,74,1512360
Cidade de Deus,2002,8.6,79,699256
Sen to Chihiro no kamikakushi,2001,8.6,96,651376
Saving Private Ryan,1998,8.6,91,1235804
The Green Mile,1999,8.6,61,1147794
La vita è bella,1997,8.6,59,623629
Se7en,1995,8.6,65,1445096
The Silence of the Lambs,1991,8.6,85,1270197
Star Wars,1977,8.6,90,1231473
Seppuku,1962,8.6,85,42004
Shichinin no samurai,1954,8.6,98,315744
It's a Wonderful Life,1946,8.6,89,405801
Joker,2019,8.5,59,939252
Whiplash,2014,8.5,88,717585
The Intouchables,2011,8.5,57,760360
The Prestige,2006,8.5,66,1190259
The Departed,2006,8.5,85,1189773
The Pianist,2002,8.5,85,729603
Gladiator,2000,8.5,67,1341460
American History X,1998,8.5,62,1034705
The Usual Suspects,1995,8.5,77,991208
Léon,1994,8.5,64,1035236
The Lion King,1994,8.5,88,942045
Terminator 2: Judgment Day,1991,8.5,75,995506
Nuovo Cinema Paradiso,1988,8.5,80,230763
Hotaru no haka,1988,8.5,94,235231
Back to the Future,1985,8.5,87,1058081
Once Upon a Time in the West,1968,8.5,80,302844
Psycho,1960,8.5,97,604211
Casablanca,1942,8.5,100,522093
